Video ID,Comment ID,comments,Likes
4ZHwu0uut3k,UgwGRCFkLd9xfH1gnKl4AaABAg,I  remember  when  this  remix  was  HIT  on  Radio  Stations    Timeeees      Loving  every  single  note  of  it    Soooo  perfectly  done    Thanks  for  sharing  this  with  the  world    3,1284
4ZHwu0uut3k,Ugwo1CHBIHYAgRghpVV4AaABAg,Old  but  Gold  ,1150
4ZHwu0uut3k,UgzcVEJGRg1QAl7csQ94AaABAg,This  song  hits  different  now  that  I'm  in  my  20s    the  lyrics  are  too  relatable,2
4ZHwu0uut3k,UgzZujaMn6eJOaOQGH14AaABAg,I  remember  finding  this  song  when  I  was  14    I  showed  it  to  my  dad  and  it  became  his  favorite  song  for  a  while    we  used  to  listen  to  it  together  a  lot    Now  it  has  been  a  year  ago  since  he  passed  away  and  I  just  found  this  again    Breaks  my  heart  but  also  brings  up  so  many  beautiful  memories  with  him  ,423
4ZHwu0uut3k,Ugyecest7n7HXMWQ1OF4AaABAg,when  lyrics  actually  hurt,2865
4ZHwu0uut3k,Ugz5JLfo229p01sIekd4AaABAg,No  masks  no  TikTok  no  stress    Life  was  good  when  this  Masterpiece  came  out  ,839
4ZHwu0uut3k,UgwMWETF8K0grKsbQHN4AaABAg,I  can't  enough  this  song    This  just  perfection  ,13
4ZHwu0uut3k,UgwJVzfOXFLRfp2MpsV4AaABAg,early  2010s  electronic  music  had  a  few  special  tunes  like  this  one        I  am  just  starting  to  appreciate  the  2000s  and  2010s  as  special  decades  in  music    For  me  it  was  my  college  and  first  couple  of  jobs  out  of  school  soundtrack      ,10
4ZHwu0uut3k,Ugxs2ecneUFofjlQcbx4AaABAg,I  remember  when  this  came  out    It  still  soothes  me  and  helps  me  deal  with  sadness,25
4ZHwu0uut3k,UgxcTzIlH5VDY8PM54Z4AaABAg,Can't  believe  this  is  already  seven  years  old    Time  goes  by  way  too  fast  ,800
4ZHwu0uut3k,Ugyuv5hm3NCNg1LOU9t4AaABAg,Sitting  here  on  2021  trying  to  remember  that  old  feeling  back  when  i  have  17  years  old      time  ,1414
4ZHwu0uut3k,UgyEuH78rbezCKfgv0t4AaABAg,You  know  this  is  good  when  you  still  come  back  and  still  been  listening  to  this  for  8  years,2
4ZHwu0uut3k,UgxQHKEWk9s78UVOZUh4AaABAg,this  track  will  live  on  forever    such  a  classic    And  when  a  remix  has  more  views  then  the  original  xD,2
4ZHwu0uut3k,UgxubAGNcMyB4m9QNTl4AaABAg,This  Tune  still  gives  me  chills    ,0
4ZHwu0uut3k,UgzODeILZZR8qCiOM5h4AaABAg,Who's  back  for  this  again  in  2021  just  to  feel  the  nostalgia  ,4025
4ZHwu0uut3k,Ugxkvh6PKSkag9FahNJ4AaABAg,This  song  will  never  get  old      It  speaks  to  the  echoes  of  my  broken  soul    humbling  my  mind  ,27
4ZHwu0uut3k,UgxUDePs9CqE6-5Y3214AaABAg,Thanks  to  Tom  Odell  for  his  beautiful  lyrics  and  magic  piano  sound    And  a  big  THANKS  to  Zwette  who  lifted  this  song  on  higher  lever  which  became  in  my  opinion  a  everlasting  classic    Can  t  stop  repeating  this  song  ,2
4ZHwu0uut3k,UgzklgaF7C1cC-okrVp4AaABAg,So  many  emotions  come  out  with  this  Remix    It's  great  ,16
4ZHwu0uut3k,UgyRGjdyLfkd1DSM0YJ4AaABAg,This  is  my  most  played  song  right  now    Thank  you  for  the  mix  Zwette      My  soul  feels  a  bit  better  knowing  this  exist  ,5
4ZHwu0uut3k,Ugz6CbyqWpwDdh--LQ14AaABAg,I  still  remember  like  it  was  yesterday  when  this  song  came  out  i  was  13  and  couldn't  get  enough  of  it  now  I'm  21  and  still  cant  get  enough  of  it    3,32
4ZHwu0uut3k,UgwKD-Dmps4EKFOJ2sZ4AaABAg,Quite  an  amazing  voice  and  definitely  going  on  my  playlist  ,1
4ZHwu0uut3k,UgyDzKCRs3OCGbU4IyB4AaABAg,It  s  crazy  I  remember  finding  this  song  when  there  was  only  5  000  views    glad  more  people  have  appreciated  this  amazing  song  ,15
4ZHwu0uut3k,UgzQpjsFX02ZEcz5mDF4AaABAg,Forever    coming  back  to  listen  to  this  beautiful  song    I  remember  listening  to  this  in  the  summer  of  2013  and  falling  in  love  with  this  song    Tom  Odell  has  such  a  nice  voice      Zwette  really  did  the  world  justice  with  this  edit  ,5
4ZHwu0uut3k,UgzpBCBBVBr6lLbIbLB4AaABAg,I  genuinely  appreciate  all  version  of  this  song,34
4ZHwu0uut3k,UgzVyjMD7z6ZMkUs6xx4AaABAg,Love  this  song  ,1
4ZHwu0uut3k,UgxU0dqqxEOOTffSFIp4AaABAg,One  of  those  songs  that  simply  never  gets  old    ,23
4ZHwu0uut3k,Ugh7VeCZjYHag3gCoAEC,This  song  can  make  me  cry  and  happy  in  the  same  time  WOW,3333
4ZHwu0uut3k,UgxnBGmQbAvzgf2CLEp4AaABAg,when  you  feel  the  music  and  it's  really  touched  your  soul  ,9
4ZHwu0uut3k,UgyRjmtXTTGl53wMXid4AaABAg,I  realy  love  this  remix    it'  got  good  vibe    3,1
4ZHwu0uut3k,UgzaOuEBHizM_QhSocR4AaABAg,This  hits  my  soul  everytime      ,1
4ZHwu0uut3k,UghIHTcicIN5f3gCoAEC,To  whoever  is  reading  this    You  are  special  and  rare    Your  future  is  gonna  be  ok    Love  and  blessings  are  coming  your  way    You  weren't  meant  to  be  somebody  else    you  were  meant  to  be  you  ,2185
4ZHwu0uut3k,Ugyzq5hLtsxXD4mi8Ih4AaABAg,close  to  2022  and  i  still  love  this  song            feels  like  i  grow  up  with  it  lmao    3,1
4ZHwu0uut3k,UgyRSJ3CC2uZo6sRHax4AaABAg,I  was  looking  for  this  song  for  months        finally  I  find  it  again,12
4ZHwu0uut3k,Ugz8U6OfERWf33XN5Bt4AaABAg,I  listened  this  song  many  time  when  i  was  serving  for  military  service    This  song  helped  a  lot  for  healing  stress  of  mine    Thx,1
4ZHwu0uut3k,UgxpB_2H4AcUWPk8hj94AaABAg,This  song  is  so  freakin'  amazing    it  brings  lovely  music  to  my  ears    I  can't  believe  this  song  has  been  out  since  2013      I  barely  hearing  it    I'm  definitely  loving  it    ,42
4ZHwu0uut3k,UgxqpVwgY0rkHkn4Hat4AaABAg,Love  it  ,0
4ZHwu0uut3k,UgwuJRyS9lYPy9y-CIh4AaABAg,Such  a  soothing  melody      I  keep  coming  back  to  this  every  now      then  ,3
4ZHwu0uut3k,UgxoMwpmtUOTFYiCN9N4AaABAg,Love  this  song        Going  through  a  massive  transformation  within  self        My  soul  is  getting  lighter  I'm  beginning  to  know  who  I  am  after  years  of  feeling  different  but  being  told  I'm  the  same  but  never  treated  the  same        I'm  here  to  spread  love  and  light  and  be  authentic  help  the  vibration  rise  for  humanity          My  soul  says  jump  but  my  flesh  is  like  don't  you  dare        Guess  what  what        I'm  fucking  jumping        Amen  ,10
4ZHwu0uut3k,UgwIKUCLcODa1Fzqda54AaABAg,Only  come  across  this  song  today    Can  t  stop  listening  to  it      Absolutely  amazing  ,4
4ZHwu0uut3k,UgxI4DQIDO1tiQn9PdZ4AaABAg,I  was  looking  for  this  remix  for  a  few  weeks    finally  found  it    It's  great  and  I've  been  listening  since  2014  ,2
4ZHwu0uut3k,Ugx0IsPkIeM7ByoJJCx4AaABAg,The  timeless    It  is  the  kind  of  song  you  associate  with  a  friend  that  was  with  you  along  the  years    Made  you  feel  allright  ,6
4ZHwu0uut3k,UgxupBymMZfAYf2bq0B4AaABAg,did  hear  this  song  alot  once    then  its  been    gone    for  few  years  but  everytime  i  listen  to  this  song  i  just  cant  stop  again    theres  just  something  perfect  about  it,1
4ZHwu0uut3k,UgwNqTV4MXC3z8IPihF4AaABAg,First  time  hearing  this  edit  and  damn  it  makes  me  feel  all  sort  of  ways  ,0
4ZHwu0uut3k,Ugjeqq2OuLZ3QHgCoAEC,The  song    the  picture    the  vibe    all  has  so  much  feeling    love  it  ,52
4ZHwu0uut3k,UgxPMv7A2O0SZLj0xIF4AaABAg,when  remix  has  more  views  than  original    you  know  it  is  godlevel  ,1
4ZHwu0uut3k,UgxUdc1ylMUVf7eXGgx4AaABAg,One  of  the  most  iconic  remixes  of  all  time      ,8
4ZHwu0uut3k,UgzRl4oVFrz4V4HPw_h4AaABAg,I've  realized  this  is  my  favourite  song    what  genre  is  this    Thank  you  ,0
4ZHwu0uut3k,UgyujS1vLaR0sk1N-VJ4AaABAg,Amazing  beat      Hypnotic      Mesmerizing      ,2
4ZHwu0uut3k,UgzimOEDoP5bnW8FtP54AaABAg,I  used  to  listen  to  this  a  few  years  back  and  loved  it    but  then  I  forgot  about  it    YouTube's  recommendations  always  come  at  the  right  time    timeless  tune    ,86
