Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,Have you found your love?,Ugzw2beVeZqddzqNvL54AaABAg,480,36781
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"""It's 17th November, let's see how many legends listening to this masterpiece.""",Ugz_Wy-18rH_Nu4QHZZ4AaABAg,24,655
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"""It's 7th November, let's see how many legends listening to this masterpiece.""",UgzFl7VdxMJsktBLDst4AaABAg,28,1028
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"""It's 16th October let's see how many legends listening to this masterpiece.""",UgwG5dj5E_aot-1jMkB4AaABAg,60,2355
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"""promise me this is forever""
"" I promise""

We all know how it ended..",UgyG7pKSxF44WOrQ7aV4AaABAg,7,291
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,i dont care what anyone says this song is the best sad song in history,Ugyp-4msunfyKEd2v6N4AaABAg,490,55932
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"A message for the future: Don't make this art die.

Edit: tym for like ily all 3>",Ugxyeti72IDJCYGZKON4AaABAg,11,758
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,Am i the only one that listens to this song even though I am not sad or thinking about love or someone that I love ? It just feels good to hear this masterpiece,Ugwti8ZqENlVZQhIPXF4AaABAg,0,59
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"It's 2021, we're almost into 2022, but you're still my favorite song",UgxnJInHl6HRT04g1RV4AaABAg,9,167
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"I sing this song to myself as an apology. Like, I'm sorry I loved other people so much that I have nothing left for you. I'm sorry I'm so good at building other people up, forgiving them, pursuing them, and leaving no effort and energy for you.",UgyZJtqaIOHoGq9gYL14AaABAg,7,197
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,This song sounds like heaven but hurts like hell🥺,Ugxm5eH8LaRwFY-5Bmt4AaABAg,92,13928
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,I’m so obsessed with this song,UgzKUS70g2DoloIyAkx4AaABAg,22,587
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"I can’t get over him guys,,he’s like a drug and I’m addicted to it.",UgzUwDngDRP8ya_M6Wh4AaABAg,5,237
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,This music hits the spot everyday,UgxKRXKw3bx6shWfYAh4AaABAg,0,17
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,Who Else Just randomly remembered this masterpiece,UgyzSKHYdOpJpnxntbp4AaABAg,7,370
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"Once a smart man said:""when you're happy you enjoy the melody, when you're sad you understand the lyrics""",Ugwr1NbPlCoZQsm8_-t4AaABAg,75,8252
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"Because of my immense loneliness I've been incapable of crying , and kept moving forward while holding all my tears. Thank you all for making me express what I really felt, and for making me vent my sadness while listening to this.",UgzIuzZcqXtNpt88tWF4AaABAg,2,75
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,moral of the story: sometimes it's just too hard to move on from another love,Ugzedj-i1v83IQ6yGr94AaABAg,1,55
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"Fell in love with the wrong person at the wrong time, I was just too blind to see it…",Ugz3pth3k0xIEatp8LB4AaABAg,3,65
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,This is not just a song that talks about my feelings towards someone who was everything to me but left me :/,UgzV5NhEKJ4L8ATjXnR4AaABAg,0,3
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"“Sleep isn’t really sleep anymore, it’s just an escape from reality.”",Ugy1v_wr5kL89ItWCUR4AaABAg,68,7825
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"Cara, essa música é simplesmente maravilhosa. Os britânicos ganharam o dom de terem os melhores cantores e as melhores bandas do mundo. 🇬🇧🇧🇷🥳",UgxXUYboU96UbOsuUuF4AaABAg,0,13
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,I love how this song gradually gets more painful. This is what I call true art.,Ugxe2DIIhRcB3UoMLpp4AaABAg,0,50
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,Found this master piece finally.,Ugxm_5foabdtTLTYFCp4AaABAg,0,4
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,Finally found this masterpiece ❤️,Ugw-PibdPCSPJa5n-Zx4AaABAg,0,9
7clouds,Tom Odell - Another Love (Lyrics),Follow the official 7clouds playlist on Spotify : https://lnkfi.re/7cloudsSpotify​​ Tom Odell - Another Love (Lyrics) ⏬ Download / Stream: ...,Jkj36B1YuDU,"""Mirror is my best friend because when i cry, it doesn't laugh.""- Charlie Chaplin💔",UgwSzyj3q4g8mcDW4XF4AaABAg,31,4597
