Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,I remember when this remix was HIT on Radio Stations! Timeeees!! Loving every single note of it! Soooo perfectly done! Thanks for sharing this with the world <3,UgwGRCFkLd9xfH1gnKl4AaABAg,24,1284
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,Old but Gold 💖,Ugwo1CHBIHYAgRghpVV4AaABAg,39,1149
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,"This song hits different now that I'm in my 20s, the lyrics are too relatable",UgzcVEJGRg1QAl7csQ94AaABAg,0,2
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,"I remember finding this song when I was 14, I showed it to my dad and it became his favorite song for a while, we used to listen to it together a lot. Now it has been a year ago since he passed away and I just found this again. Breaks my heart but also brings up so many beautiful memories with him ❤️",UgzZujaMn6eJOaOQGH14AaABAg,17,423
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,Que musica boa de se ouvir,UgwoanrDS27GdHHuBOF4AaABAg,0,15
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,when lyrics actually hurt,Ugyecest7n7HXMWQ1OF4AaABAg,88,2865
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,No masks no TikTok no stress. Life was good when this Masterpiece came out.,Ugz5JLfo229p01sIekd4AaABAg,20,839
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,I can't enough this song. This just perfection.,UgwMWETF8K0grKsbQHN4AaABAg,0,13
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,early 2010s electronic music had a few special tunes like this one... I am just starting to appreciate the 2000s and 2010s as special decades in music. For me it was my college and first couple of jobs out of school soundtrack :),UgwJVzfOXFLRfp2MpsV4AaABAg,1,10
TheSoundYouNeed,Tom Odell - Another Love (Zwette Edit),Follow us on Spotify: http://spoti.fi/2oPClDv And on Instagram: https://www.instagram.com/thesoundyouneed/ TheSoundYouNeed - Music at its finest ✖✖ LYRICS ...,4ZHwu0uut3k,I remember when this came out. It still soothes me and helps me deal with sadness,Ugxs2ecneUFofjlQcbx4AaABAg,0,25
