Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,This song really hits different when it just happened to you recently,UgyJjk5QVx_qZd1G2J14AaABAg,34,5837,This song really hits different when it just happened to you recently,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,the worst feeling is knowing you tried your best and it still wasn’t enough,Ugy3fXhebQm585j1zVh4AaABAg,57,3842,the worst feeling is knowing you tried your best and it still wasn’t enough,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,"It's NOVEMBER 2021, let's see how many legends are listening to this masterpiece ♡",UgyxgV15X3OpoY5alsZ4AaABAg,68,2459,"It's NOVEMBER 2021, let's see how many legends are listening to this masterpiece ♡",en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,"As a neuroscience nerd going through a breakup, I appreciate the cinematic visuals very much.",UgzMj5BH07AiNuWrTq54AaABAg,4,167,"As a neuroscience nerd going through a breakup, I appreciate the cinematic visuals very much.",en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,This song is beautiful and holds much. So many memories are racing through my head of what I think of this song,UgzRd_gQ5GJkmjn7uRV4AaABAg,1,11,This song is beautiful and holds much. So many memories are racing through my head of what I think of this song,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,everyone talking about how they miss someone they once loved but i’m listening to the song because i can no longer recognize myself...,UgxcxI7RUT7SDNSjhu14AaABAg,169,14704,everyone talking about how they miss someone they once loved but i’m listening to the song because i can no longer recognize myself...,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,"Its weird... how most of us living on earth will never meet or even acknowledge each other’s existence...For example, if you’re reading my comment: this is probably the first and the last time you’ll ever see me..... 🙂",Ugwhsidkc0qEZX2AJdZ4AaABAg,85,2876,"Its weird... how most of us living on earth will never meet or even acknowledge each other’s existence...For example, if you’re reading my comment: this is probably the first and the last time you’ll ever see me..... ",en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,"This song reminded  me of my younger self. Yesterday I was looking at pictures when I was little, I could see how happy and free I was. I didn't even know what depression, hatred meant. I didn't even think about my look, because then every problem was small for me. I never wondered what I would be like when I grew up, but I least expected to be like I am today. I didn't think that the happy child in the picture would be depressed today & would want to take her own life at a young age. I'm sorry that I became a completely different person & I can't help myself at all, but I still like to help others, because that makes me feel better knowing that I have helped someone. I’m not living anymore, I’m hardly even surviving. Unlike today's generation, I feel very more mature, maybe it's because of depression, someone said that people with depression usually grow up faster. The problem is that my parents don't care about me and my sisters at all. They just think about their problems. And my sisters? They take depression and anxiety as a joke ... What would it mean to me to tell them how I feel ... they would probably make fun of me. Its really sad  that no one in your life suspects that anything is going on. I also had a friend I knew for 9 years. But she soon replaced me with someone else. It was very difficult for me, because I was used, since I was a child, to always be with her, and I didn't go anywhere without her, which caused me anxiety today. I have no reason to continue living, I am tired of everything, of school, of people who hurt and harass me all the time, of my parents who constantly quarrel and who even find it difficult to take me to the doctor when I am sick so they don’t have to spend money on me. I can no longer endure. I would like to have someone who would understand me, but I’m all alone doing everything by myself. Three months ago my grandparents both died in one week, which broke me and exhausted me a lot. I couldn't believe it had happened. After that, everything started to get worse. I'm afraid to do something to myself, but I can't live this life anymore. It is hard to live every day with such thoughts and such sadness in your head. Depression is killing me. I don't know how much longer I will last. This song is definitely one of the most emotional song I’ve ever listened to, I can find myself in it. I'm sorry that happy little me without a single problem disappeared. 
-Today’s people would do anything just to hurt you. I am sorry that some people think that they have to look as beautiful as celebrities in order for someone to accept them. They have allowed their insecurities to take over who they used to be. I am sorry that they are ashamed of their faces and bodies, yet all this is given by God, why would he make you like that ? I think he sees you so perfectly. 
I understand, it's very difficult isn't it?
-  I lock myself in the room and only come out when I absolutely have to, which is usually for dinner. I no longer have the motivation to do anything. My head starts spinning and I can't take it anymore…",UgyvNjzNvulNaQSe4bV4AaABAg,110,1019,"This song reminded  me of my younger self. Yesterday I was looking at pictures when I was little, I could see how happy and free I was. I didn't even know what depression, hatred meant. I didn't even think about my look, because then every problem was small for me. I never wondered what I would be like when I grew up, but I least expected to be like I am today. I didn't think that the happy child in the picture would be depressed today & would want to take her own life at a young age. I'm sorry that I became a completely different person & I can't help myself at all, but I still like to help others, because that makes me feel better knowing that I have helped someone. I’m not living anymore, I’m hardly even surviving. Unlike today's generation, I feel very more mature, maybe it's because of depression, someone said that people with depression usually grow up faster. The problem is that my parents don't care about me and my sisters at all. They just think about their problems. And my sisters? They take depression and anxiety as a joke ... What would it mean to me to tell them how I feel ... they would probably make fun of me. Its really sad  that no one in your life suspects that anything is going on. I also had a friend I knew for 9 years. But she soon replaced me with someone else. It was very difficult for me, because I was used, since I was a child, to always be with her, and I didn't go anywhere without her, which caused me anxiety today. I have no reason to continue living, I am tired of everything, of school, of people who hurt and harass me all the time, of my parents who constantly quarrel and who even find it difficult to take me to the doctor when I am sick so they don’t have to spend money on me. I can no longer endure. I would like to have someone who would understand me, but I’m all alone doing everything by myself. Three months ago my grandparents both died in one week, which broke me and exhausted me a lot. I couldn't believe it had happened. After that, everything started to get worse. I'm afraid to do something to myself, but I can't live this life anymore. It is hard to live every day with such thoughts and such sadness in your head. Depression is killing me. I don't know how much longer I will last. This song is definitely one of the most emotional song I’ve ever listened to, I can find myself in it. I'm sorry that happy little me without a single problem disappeared. 
-Today’s people would do anything just to hurt you. I am sorry that some people think that they have to look as beautiful as celebrities in order for someone to accept them. They have allowed their insecurities to take over who they used to be. I am sorry that they are ashamed of their faces and bodies, yet all this is given by God, why would he make you like that ? I think he sees you so perfectly. 
I understand, it's very difficult isn't it?
-  I lock myself in the room and only come out when I absolutely have to, which is usually for dinner. I no longer have the motivation to do anything. My head starts spinning and I can't take it anymore…",en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,Me and my ex used to listen to this song on a playlist when we were together and I always had to hide my emotions because I was afraid that someday I’d be listening to it alone. We broke up 4 months ago and here I am.,UgwMn4AoY4a4CFGsq8x4AaABAg,7,72,Me and my ex used to listen to this song on a playlist when we were together and I always had to hide my emotions because I was afraid that someday I’d be listening to it alone. We broke up 4 months ago and here I am.,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,This song hits deeply when u see someone taken by drugs and see them devolve into another person truly a painful emotion,UgyDx1JXH0jl1VinoSF4AaABAg,10,201,This song hits deeply when u see someone taken by drugs and see them devolve into another person truly a painful emotion,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,It's just ‘funny’ how we desperately tell other people they have reasons to live when we can’t even find one for ourselves.,UgzPqeaAlcU97hKr2gt4AaABAg,83,5512,It's just ‘funny’ how we desperately tell other people they have reasons to live when we can’t even find one for ourselves.,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,"“I saw the part of you that only when you’re older you will see too” is such a tragic line. I’ve been hurt by people because they didn’t see themselves as worthy, and I wish they could see themselves through my eyes. Falling in love with someone less mature than you can absolutely crush you, because you know they can’t even comprehend how you feel.",Ugx-B0vVgNqeHIOGNuV4AaABAg,11,204,"“I saw the part of you that only when you’re older you will see too” is such a tragic line. I’ve been hurt by people because they didn’t see themselves as worthy, and I wish they could see themselves through my eyes. Falling in love with someone less mature than you can absolutely crush you, because you know they can’t even comprehend how you feel.",en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,Not sad or depressed or anything just the vocals in this song hits hard af,UgyS3M6MTaOq6tUdyfB4AaABAg,8,363,Not sad or depressed or anything just the vocals in this song hits hard af,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,There are some songs that when you listen to them for the 1st time they will stay with you for the rest of your life. This is one of them.❤️,UgxbOo91GWUhTcQasOh4AaABAg,1,15,There are some songs that when you listen to them for the 1st time they will stay with you for the rest of your life. This is one of them.,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,It's so crazy when I read everyone's comments and I want to tell you all you all have a purpose when I can't even find a purpose for myself.  You all deserve happiness and love ❤,UgxUfjA6RXYM2n4f0-h4AaABAg,9,81,It's so crazy when I read everyone's comments and I want to tell you all you all have a purpose when I can't even find a purpose for myself.  You all deserve happiness and love ,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,"I’m hurting , hurting bad and I can physically feel my heart break in my chest when I listen to this song",Ugx9VBoU0Cl1z1BkKDF4AaABAg,50,4924,"I’m hurting , hurting bad and I can physically feel my heart break in my chest when I listen to this song",en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,Not gonna lie comments section of this song is literally LEGENDARY,UgzA6jcSD8PJf9j32ER4AaABAg,0,144,Not gonna lie comments section of this song is literally LEGENDARY,en
FloraCashVEVO,flora cash - You&#39;re Somebody Else (Lyric Video),You're Somebody Else” by flora cash Listen to flora cash: https://floracash.lnk.to/listenYD Subscribe to the official flora cash YouTube channel: ...,qVdPh2cBTN0,"This song makes me feel so much emotions - the lyrics just hits there, but what makes my hair stand is the way the he sings it, that voice can bring out so much emotions in me. Beautiful piece of music.",UgzEqeUByQB4WadoFPR4AaABAg,2,45,"This song makes me feel so much emotions - the lyrics just hits there, but what makes my hair stand is the way the he sings it, that voice can bring out so much emotions in me. Beautiful piece of music.",en
