Video ID,Comment ID,comments,Likes
8SbUC-UaAxE,Ugz9_PQ6CmCxsBioBkt4AaABAg,My  wife  and  I  loved  to  listen  to  this  song  over  and  over  again    She  s  gone  now  3  years  and  I  still  listen  to  this  song  and  think  oh  her    Miss  you  baby  ,3279
8SbUC-UaAxE,UgyazONBYLFHI3o31rd4AaABAg,When  you're  quarantined  at  home    there's  nothing  better  to  do  than  rock  out  to  Guns  N'  Roses  on  max  volume    ,2516
8SbUC-UaAxE,UgwMwale66fh-91wQ014AaABAg,It's  November    it's  raining    there's  no  better  music  than  this  to  listen  to,42
8SbUC-UaAxE,UgwNMIpEe7pDBkBmK9R4AaABAg,This  song  sounds  magical  specially  in  November  every  year      ,19
8SbUC-UaAxE,UgzRaf-4jJwAzj5c0jF4AaABAg,This  song  is  a  masterpiece    Love  and  death  is  part  of  life  and  it  can  not  be  avoided    This  song  explains  that  exactly  ,15
8SbUC-UaAxE,Ugx_uPZePDhevkTvGD54AaABAg,Its  november    its  raining    Perfect  ,2919
8SbUC-UaAxE,Ugxm47DQad6y41Kje-t4AaABAg,Great  song    compositions  of  guitar  and  violins  are  never  heard  again    I  enjoy  this  masterpiece  since  a  long  time  and  nothing  compares  to  it,6
8SbUC-UaAxE,Ugz5jrE7iW51Szuln7h4AaABAg,This  never  get's  old    november  16  2021  and  still  one  of  the  best  songs  ever  written  ,71
8SbUC-UaAxE,Ugy_DF894IaAL5E7BRF4AaABAg,The  guitar  solo  in  4  12  is  amazing        We  don't  have  things  like  this  anymore,374
8SbUC-UaAxE,Ugw1HzvRXCq5OXDpz6t4AaABAg,      It's  crazy  how  many  people  come  back  to  this  everyday  This  song  is  legendary        ,14
8SbUC-UaAxE,Ugzeb68maQJixyXVUaN4AaABAg,This  night's  rain  blends  in  smoothly  with  this  song    I  can't  help  myself  but  reminisce  the  memories  of  my  past      ,20
8SbUC-UaAxE,UgxZzMEEzrulTked2ft4AaABAg,November  Rain  a  masterpiece  Always  and  forever      waiting  4  the  1  billion      I  posted  this  comment  a  few  years  ago  and  now  I'm  so  glad  to  see  we  did  it  folks    thank  you    long  live  rock  ,3400
