Video ID,Comment ID,comments,Likes
MwpMEbgC7DA,UgxyyOolFRhwZzdeH6B4AaABAg,Almost  2022  and  this  song  is  still  a  masterpiece  ,2770
MwpMEbgC7DA,UgyJIBcVyyE3WIIzpOt4AaABAg,It's  November  2021    let's  see  how  many  legends  are  listening  to  this  masterpiece  ,1969
MwpMEbgC7DA,UgyPundPLD47qRbQXfZ4AaABAg,This  song  has  such  a  different  atmosphere  compared  to  other  songs  that  even  when  you  are  happy  and  listen  to  it    it  makes  you  cry  and  it  never  gets  old    even  if  I  listen  to  it  a  hundred  times    I  don't  get  bored  ,1195
MwpMEbgC7DA,UgwyC5O-P3BBQ8lhFv54AaABAg,This  song  has  a  powerful  hit  in  it  ,24
MwpMEbgC7DA,UgxAI_FkDVq-jWHWSdB4AaABAg,I  just  can  t  stop  listening  to  it  ,10
MwpMEbgC7DA,Ugzks5jFJzbFvlP_I8Z4AaABAg,18  november  2021  and  this  is  still  a  masterpeace,53
MwpMEbgC7DA,UgyokVim7wcaIp63XmZ4AaABAg,  One  day  after  my  suicide      The  day  after  my  suicide    I  fell  inlove  with  my  mother  when  i  saw  her  crying  on  the  floor  of  my  room    hugging  my  bloody  shirt  with  my  photos  scattered  around  her      I  saw  so    much  love  in  her  eyes      The  day  after  my  suicide    I  felt  how  much  my  father  love    no  matter  how  hard  it  was    In  the  midst  of  so  much  sadness    he  spoke  to  me  with  tears  in  his  eyes  about  how  proud  he  was  of  me  and  how  sensitive  I  was  to  otherd      The  day  after  my  suicide    I  saw  that  Kiara    my  dog    was  more  incredible  than  i  could  have  imagined    Every  time  someone  came  home    she  would  run  to  the  door  waiting  for  me  and    seeing  that  it  was  not  for  me    would  lie  down  in  front  of  the  door  and  continue  waiting  for  me      The  day  after  my  suicide    I  loved  it  for  my  brothers  when  i  saw  them  sitting  in  the  room  with  their  eyes  full  of  tears    they  remembered  the  times  when  we  played  in  our  beautiful  childhood          What  a  good  time      The  day  after  my  suicide    I  felt  how  much  my  bestfriend  loved  me      she  was  looking  at  our  photos  together  and  remembering  all  the  moments      The  day  after  my  suicide    I  felt  that  i  was  inportant  to  my  teachers  They  blamed  each  other  so  much  for  not  noticing          At  night    I  went  to  the  morgue  to  look  for  my  body    I  get  upset    I  looked  at  myself  and  said      So  many  dreams  we  had        So  many  loves        So  many  people  to  meet        You  had  people  who  loved  you  and  yet  you  threw  it  all  up            You  have  to  have  a  lot  of  courage  to  take  your  life    Why  didn't  you  use  that  courage  to  win        Thank  goodness  that  was  just  a  vission        You  can  read  this    You  are  still  hear  and  can  change  your  life  forever    You  are  better  thank  you  think  you  are      Prettier    smarter  stronger        I  know  you  will  get  out  of  this  I  promise  you  i  wish  you  the  best        A  comment  in  youtube  ,226
MwpMEbgC7DA,UgxBjgNotwYuT3NYG_N4AaABAg,I  listen  to  this  song  almost  every  day      This  is  the  best  song  that  I've  ever  heard  ,27
MwpMEbgC7DA,UgyuW0uxL9LhWzjsvFp4AaABAg,I  just  realized  this  song  is  8  years  old  and  still  a  masterpiece  to  this  day      Wow  ,3057
MwpMEbgC7DA,UgxbcTjgZPMRYcJNDex4AaABAg,His  song  hits  different  when  your  wearing  headphones  ,5
MwpMEbgC7DA,UgzUCEDXpWM6oqhP-7p4AaABAg,It's  been  10  years    we  are  almost  in  2022  and  this  song  is  still  a  masterpiece          Greetings  from  Italy  ,151
MwpMEbgC7DA,UgwU8SIiI5fipliHvZl4AaABAg,It's  almost  2022  and  I  am  here  still  listening  to  this  Master  piece  ,6
MwpMEbgC7DA,Ugxs-4VjoONE34lpIiN4AaABAg,Unpopular  opinion    this  song  is  the  masterpiece  of  our  generation,9967
MwpMEbgC7DA,UgzI2QRXkPtXFkWrxS94AaABAg,9  years  later  and  this  song  still  hits  different    Truly  a  masterpiece  ,74
MwpMEbgC7DA,UgyE253ECQYUe4qZE-54AaABAg,This  song  actually  makes  me  feel  something  which  is  rare  these  days,2
MwpMEbgC7DA,Ugz607RJzC62VhQSyAx4AaABAg,Bruh  it  s  crazy  how  this  song  is  still  going  shows  how  great  of  a  piece  this  is  truly,101
MwpMEbgC7DA,UggjR394cHAOHngCoAEC,this  is  the  simplest  and  yet  best  music  video  ever  ,27841
MwpMEbgC7DA,UgzQ9B4uLkQD-CA6nKJ4AaABAg,We  will  come  2022  and  I  still  love  this  music  ,8
MwpMEbgC7DA,UgxyB9awBvJIcVOxh4t4AaABAg,This  songs  gets  even  better  with  time      One  of  my  favs,1
MwpMEbgC7DA,UgxwDleUMTliGfNLZRp4AaABAg,Whenever  i  listen  to  this  song    it  always  brings  back  to  the  memory  of  2  years  ago  ,2
MwpMEbgC7DA,Ugzqon7FKhCp726fzDh4AaABAg,Listening  to  this  song  when  I  was  13  without  a  worry  in  the  world    then  fast  forward  to  21  and  this  song  has  never  felt  so  relatable        ,29
MwpMEbgC7DA,UgwfrS_JsgGk8Q3efu54AaABAg,This  song  never  gets  old    No  matter  how  much  I  listen    I  never  get  bored  ,11330
MwpMEbgC7DA,UgydMd0WDsHTps3m5MR4AaABAg,I  hope  people  come  back  9  years  from  now  to  cherish  this  piece  of  gold,71
MwpMEbgC7DA,UgxSjWh3MWlKg2x7qEN4AaABAg,2  months  till  2022  and  I'm  still  listining  to  this  song  ,65
MwpMEbgC7DA,UgwTYaTCu23ocjSUDop4AaABAg,Every  time  I  listen  it    I  cry    I  don't  know    Like  all  my  problems  meet  and  kill  me    I  saw  clip  the  first  time  and  I'm  upset  I  haven't  done  it  yet        Another  Love    is  my  love    Thank  you  ,4
MwpMEbgC7DA,Ugxpm3nTxATmfTnegWJ4AaABAg,2012      Cry    2013      Cry    2014      Cry    2015      Cry    2016      Cry    2017      Cry          2018      Cry          2019      Cry    2020      cry  2021      still  crying,12223
MwpMEbgC7DA,UgwjrOPjMBj44AoSU0B4AaABAg,9  years  later  and  i  still  listening  to  it    this  song  is  a  masterpiece,23
MwpMEbgC7DA,UgzN7kmhL84kW0K4Kpd4AaABAg,This  song  always  hits  deep  when  you  come  back  legit  ,1
MwpMEbgC7DA,UgzZCWeC_n6Yi2Lm_nF4AaABAg,Im  learning  that  one  on  piano  rn    Everytime  i  play  it  as  far  as  I  can  till  now  it  just  feels  beautiful    So  nostalgic,1
MwpMEbgC7DA,Ugxx6ZHwUCl1UkXVCwd4AaABAg,This  song  is  literally  one  of  the  saddest  songs  in  this  world  ,27691
MwpMEbgC7DA,UgzCBuOYl8_OidmXle14AaABAg,I  know  it's  never  easy  to  love  someone  and  lost  her  him    But  imagine  the  pain  the  new  lover  will  feel    if  deep  down  he  she  knows  that  you're  still  not  moved  on  from  the  first  love  you  had    I  don't  want  to  feel  that    I'd  rather  be  alone    than  hope  and  beg  for  a  love  that  was  never  meant  for  me  ,3
MwpMEbgC7DA,UgzjaiX0XXXTXy094gR4AaABAg,Beautiful  song    never  gets  old    People  will  still  listen  in  2022    2023  and  so  on,2
MwpMEbgC7DA,UgxAIow1Xkh884IL9V94AaABAg,Timeless  classic    3,8981
MwpMEbgC7DA,UgzcN1fDJWDvfePgrIV4AaABAg,This  song  is  forever  in  my  heart,1
MwpMEbgC7DA,UgxmQiwFMEF-1d5TrCR4AaABAg,I  wanna  take  you  somewhere  so  you  know  I  care  But  it's  so  cold  and  I  don't  know  where  I  brought  you  daffodils  in  a  pretty  string  But  they  won't  flower  like  they  did  last  spring    And  I  wanna  kiss  you    make  you  feel  alright  I'm  just  so  tired  to  share  my  nights  I  wanna  cry  and  I  wanna  love  But  all  my  tears  have  been  used  up    On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up    Oh  oh  Oh  oh  oh  oh  oh  oh  Oh  oh  oh  oh  oh  oh    And  if  somebody  hurts  you    I  wanna  fight  But  my  hand's  been  broken    one  too  many  times  So  I'll  use  my  voice    I'll  be  so  fucking  rude  Words  they  always  win    but  I  know  I'll  lose    And  I'd  sing  a  song    that'd  be  just  ours  But  I  sang  'em  all  to  another  heart  And  I  wanna  cry    I  wanna  learn  to  love  But  all  my  tears  have  been  used  up    On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up    Oh  oh    I  wanna  sing  a  song    that'd  be  just  ours  But  I  sang  'em  all  to  another  heart  And  I  wanna  cry    I  wanna  fall  in  love  But  all  my  tears  have  been  used  up    On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  oh  oh    oh,24
MwpMEbgC7DA,UgxotZwgVmA5zjDE2sx4AaABAg,When  i  was  in  high  school  i  listened  and    i  love  this  song  8  years  ago        i  felt  strange  and  sad    Again  i  have  strange  feelings  now  ,4
MwpMEbgC7DA,UgzWyehPRoa3-Vq0IZp4AaABAg,If  you're  here    your  music  taste  is  gold,9960
MwpMEbgC7DA,UgxqeLUQYT8zzb0qnrN4AaABAg,Almost  2022  and  still  a  masterpiece,15
MwpMEbgC7DA,UgyucZP21CJWLrW2vHN4AaABAg,10  Years  Later    The  Best  Love  Song  ,2
MwpMEbgC7DA,UgwUJGD9twrbc2p5HsF4AaABAg,Who  else  just  randomly  remembered  this  song  ,2802
MwpMEbgC7DA,UgzPKgGzjc-K661vWxl4AaABAg,I  wish  his  other  songs  got  the  amount  of  attention  and  views  this  one  has    he  is  literally  so  underrated  ,2
MwpMEbgC7DA,Ugyf-KpeAMwMdIvj6MJ4AaABAg,we  all  know    that  we  will  love  this  song  forever,0
MwpMEbgC7DA,UgwmGEe7lVZ6SN-YKVB4AaABAg,To  the  Future  ones      Please  Don't  let  this  Masterpiece  Die      stuck  in  my  mind  so  badly  ,7
MwpMEbgC7DA,Ugy73rSh9p-0rUfmGZl4AaABAg,I  can't  imagine  how  much  pain  he  was  feeling  when  writing  this  song    He's  a  great  song  composer    Love  him  ,11145
MwpMEbgC7DA,UgyJxfXTcHAKJ75wn1R4AaABAg,It's  so  soothing  ,3
MwpMEbgC7DA,UgyGNj9LrFMKdSj551l4AaABAg,I've  been  listening  to  this  masterpiece  for  a  week  ,0
MwpMEbgC7DA,UgwduZXK3N5Mhc3MGXx4AaABAg,you  know  a  song  is  gold  when  the  comment  section  is  still  active,22576
MwpMEbgC7DA,Ugx8NaraK6Jz8cJ67ft4AaABAg,this  song  is  a  masterpiece  ,0
MwpMEbgC7DA,Ugw2qafq5RiFE0H5hV14AaABAg,I  love  this  song  with  all  my  heart,2
MwpMEbgC7DA,UgzQiNwqpn27Cxdj8v54AaABAg,It  s  been  in  my  sleeping  playlist  since  I  discovered  it  in  2015    so  I  listen  to  it  every  single  night,8
MwpMEbgC7DA,UgxuPEkwnZ-KCYWu--p4AaABAg,Don't  worry  you're  not  the  only  one  who  listening  to  this  masterpiece  in  2021  ,6179
MwpMEbgC7DA,UgztOJyWxaIIVBNNQRt4AaABAg,This  song  is  truly  a  masterpiece,6
MwpMEbgC7DA,Ugw-3HbiDwWDl2BC6Gd4AaABAg,since  3  days  i  hear  the  song  every  evening  and  fall  asleep  crying  to  it,1
MwpMEbgC7DA,Ugxqqxp7i3ugbz_8lGt4AaABAg,''I  wanna  cry    but  all  my  tears  have  been  used  all  ''    This  is  me  right  now  ,3343
