Video ID,Comment ID,comments,Likes,polarity,pol_cat,stop_comments
ZbZSe6N_BXs,UgycCbbuMUSZnLue_0d4AaABAg,this  hit  different  when  you're  really  happy  it'll  have  you  dancing  in  your  room  at  night  for  no  reason,114,0.4,1,hit different 're really happy 'll dancing room night reason
ZbZSe6N_BXs,UgyZMGpEtc_zxlJwtjJ4AaABAg,this  song  is  the  antidote  people,0,0.0,0,song antidote people
ZbZSe6N_BXs,UgwhDmXtsfY6VRq5AJ14AaABAg,it's  crazy  how  many  people  come  back  to  this  everyday  this  song  is  legendary,167,0.13999999999999999,1,'s crazy many people come back everyday song legendary
ZbZSe6N_BXs,UgzhKx2sNikDY2yi1t54AaABAg,what  a  beautiful  song  that  makes  you  feel  like  the  world  is  beautiful,117,0.85,1,beautiful song makes feel like world beautiful
ZbZSe6N_BXs,UgyR1Hg8ep1rFzRIZZZ4AaABAg,if  you  listening  that  now  outside  and  everyware  you  are  not  alone      becuse  we  are  happy,1,0.4,1,listening outside everyware alone becuse happy
ZbZSe6N_BXs,UgzLwRkPcKSIFF6ARpF4AaABAg,cat    and  one  very  happy  duck,0,1.0,1,cat one happy duck
ZbZSe6N_BXs,Ugy4i1367xRaW6QbW0h4AaABAg,it  s  6  o  clock  it  s  a  shitty  day  and  this  song  make  up  for  it,0,0.0,0,6 clock shitty day song make
ZbZSe6N_BXs,UgzynEpQ3Y81f8IeICV4AaABAg,alpha  pig    now  let  s  fix  the  colour  that  makes  zora  happy    gold,0,0.8,1,alpha pig let fix colour makes zora happy gold
ZbZSe6N_BXs,Ugw_0IX8BQ_TFqXd_4F4AaABAg,playing  this  song  in  band,1,0.0,0,playing song band
ZbZSe6N_BXs,UgyEKAScfJfCPYiVfmF4AaABAg,this  song  is  the  perfect  example  about  how  world  peace  is  a  possibility  and  not  a  fantasy,0,1.0,1,song perfect example world peace possibility fantasy
ZbZSe6N_BXs,UgzQ5qJQN5anIpolEvZ4AaABAg,i  didn  t  know  that  tyler  the  creator    jasper  and  earl  were  in  this  video    that  is  so  cool,0,0.35,1,know tyler creator jasper earl video cool
ZbZSe6N_BXs,Ugy6Alfpx9dASCU4MWB4AaABAg,you  can  feel  happynes  vibe  all  the  way,0,0.0,0,feel happynes vibe way
ZbZSe6N_BXs,Ugwh5-8f5Hzdeo7Gwsp4AaABAg,tyler  vibing  in  this  tho,1,0.0,0,tyler vibing tho
ZbZSe6N_BXs,Ugyd6ZOQDgkckZ4PtBh4AaABAg,why  isn't  the  website  for  the  24  hour  video  working          i  need  24  happiness  please,0,0.7,1,n't website 24 hour video working need 24 happiness please
ZbZSe6N_BXs,Ugw9z7wv9_JFtyukupF4AaABAg,hey  you    i  knew  you'd  come  here    enjoy  the  song,2,0.4,1,hey knew 'd come enjoy song
ZbZSe6N_BXs,UgyLw9ljlv2V8OJOx9Z4AaABAg,this  song  is  really  uplifting  while  being  on  lockdown    it  gives  hope,160,0.2,1,song really uplifting lockdown gives hope
ZbZSe6N_BXs,Ugyepg-wfR15XN2D4tx4AaABAg,hmm  therapy  in  musical  is  epic,1,0.05,1,hmm therapy musical epic
ZbZSe6N_BXs,UgzNxkE7p1LsworJ7Jp4AaABAg,unbelievable  that  this  song  is  actually  over  7  years  old,742,-0.049999999999999996,0,unbelievable song actually 7 years old
