Video ID,Comment ID,comments,Likes
ZbZSe6N_BXs,UgwtUpsd6AXfxtN7YUZ4AaABAg,No  matter  how  old  you  are    this  song  never  gets  old  ,1677
ZbZSe6N_BXs,UgyzJ6QvyQram3HqADh4AaABAg,A  message  to  the  future  generations    Don't  let  this  song  die  ,1381
ZbZSe6N_BXs,UgzqzeOL0cMPnMPa2td4AaABAg,This  song  is  genuinely  nostalgia  at  it's  best  ,133
ZbZSe6N_BXs,UgyYEN-JCXX-SC9HmV94AaABAg,my  first  time  hearing  this  is  during  my  kindergarten  camp    and  now  im  listening  to  it  when  im  in  secondary  school    3  still  never  gets  old,50
ZbZSe6N_BXs,Ugy70djH8RJQo3MSb314AaABAg,I  think  that  song  is  amazing  because  it  respect  the  sounds  of  the  blues  and  refresh    the  old  sounds  ,94
ZbZSe6N_BXs,UgzD5Gp3S9Upx4ltJMx4AaABAg,It  may  be  7  years  old    but  it  never  gets  old,1122
ZbZSe6N_BXs,UgzOSRoGV4o1LkXyaWh4AaABAg,This  song  is  absolutely  wonderful    I  remember  back  in  2014    my  father  always  put  this  on  when  we  are  in  a  rough  situation    D,228
ZbZSe6N_BXs,UgybwOsjuy09Lxo7GSx4AaABAg,We  need  more  positive  songs  like    Happy      Thank  you  Pharrell    Doesn  t  matter  the  storm  outside  we  choose  to  feel  happy,65
ZbZSe6N_BXs,Ugx5HZV55mmffUeXbXB4AaABAg,The  way  music  just  triggers  thousands  of  memories  is  actually  incredible,605
ZbZSe6N_BXs,Ugzzlhj_yL0WRZlMV2d4AaABAg,I  wish  they  made  songs  like  this  again    the  closest  thing  is  blinding  lights,305
ZbZSe6N_BXs,UgySJ7AcLMvHlzHkVVd4AaABAg,This  song  can  never  get  old,3
ZbZSe6N_BXs,UgxUXIy-8aVmDDNJY6J4AaABAg,As  they  say      You  can't  appreciate  something  unless  it's  taken  away      So  don't  let  this  song  die  ,157
ZbZSe6N_BXs,Ugz-4T6B8pQTM8Mxq3F4AaABAg,I  just  came  from  watching  Pharrell  crediting  Maggie  Rogers  being  original  and  immediately  thought  of  this  song    that  video  made  me  happy  and  this  song  is  a  representation  of  the  man  Pharrell  is    You  can  not  hate  on  the  man,5
