Video ID,Comment ID,comments,Likes
u_J0Ng5cUGg,UgxF9lKGdxApu_QoyCx4AaABAg,  why  do  men  talk  about  boobs  for  hours      me  and  the  boys      if  two  vegans  are  arguing    is  it  still  considered  beef    ,2980
u_J0Ng5cUGg,UgwPfh7afvF-WHgUrup4AaABAg,  why  do  men  talk  about  boobs  for  hours      me  and  the  boys      if  im  a  priest    will  my  father  call  me  father    ,1942
u_J0Ng5cUGg,UgzN0HCeptWEjXlaHPh4AaABAg,  How  does  it  feel  to  be  the  same  gender  as  Donald  Trump      Well  I  mean  feels  great  to  be  the  same  gender  as  Jesus    ,1064
u_J0Ng5cUGg,UgxW3ER2bMXT-7G172N4AaABAg,I've  been  paralysed  from  the  waist  down  for  about  2  years  now    but  this  video  gave  me  enough  strength  to  get  up  and  jump  out  of  window    Thank  you  ,306
u_J0Ng5cUGg,Ugy1AqVR1U7Uui5BxM14AaABAg,  When  did  words  get  genders        Basically  every  language  except  english    Am  I  a  joke  to  you  ,1480
u_J0Ng5cUGg,UgznIGL5muyet9x4XqJ4AaABAg,Feminist  1    how  do  we  prevent  sexism    Feminist  2    be  sexist  to  men    Feminist  1    PERFECT  ,1934
u_J0Ng5cUGg,UgzuWnZBubtt3MbFsBB4AaABAg,  Why  do  men  talk  about  boobs  hours      Me    why  do  women  talk  about  men  talking  about  boobs  for  hours,1071
u_J0Ng5cUGg,UgwhM1dJJXSpa0OEX2h4AaABAg,  How  does  it  feel  to  be  the  same  gender  as  Trump        I  m  not  a  guy  but  I  can  tell  it  s  not  as  bad  as  being  the  same  gender  as  you        ,625
u_J0Ng5cUGg,UgzgK4oKb7mOR8c_0ad4AaABAg,Ah    yes    I  love  how  this  blatant  act  of  sexism  is  put  underneath      NotAllMen    and  yet  its  addressed  to  literally  ALL  MEN    Love  this  wonderful  way  of  feminism    So  proud    I  feel  so  empowered    as  a  girl    after  watching  girls  berate  guys  for  three  minutes    This  is  exactly  how  you  fight  sexism    You  just  discriminate  the  other  way    Good  job      because  i've  had  people  come  at  me  before    I  must  mention  that  this  is  SARCASM    ,271
u_J0Ng5cUGg,UgwGykXfVgMxREJhenp4AaABAg,i  showed  this  video  to  my  mom    who  has  worked  since  childhood    throughout  pregnancy    always  been  an  extremely  strong  individual  and  role  model      Less  than  halfway  through  she  had  to  turn  it  off  because  it  was  making  her  angry  haha      those  are  the  sort  of  silly  girls  that  are  always  the  victim  because  they  cant  accept  the  consequences  of  their  actions  ,360
u_J0Ng5cUGg,UgyriWaKbgUAwAxw9id4AaABAg,Fun  fact    most  of  their  questions  can  be  used  against  them  ,2593
u_J0Ng5cUGg,UgyN_9oWGPn345hON_F4AaABAg,  I  m  probably  funnier  than  you        She  s  right    I  was  laughing  at  her  the  whole  damn  video  ,207
u_J0Ng5cUGg,UgyGdHQ3QbyAEKn7LZR4AaABAg,  How  does  it  feel  to  be  the  same  gender  as  Donald  Trump      How  does  it  feel  to  not  be  the  same  gender  as  Shrek  ,276
u_J0Ng5cUGg,UgybTfiihaFvGHFrvwZ4AaABAg,  Why  do  men  talk  about  boobs  for  hours        Meanwhile    an  actual  convo  that  happens  at  my  work  when  no  women  are  around      John  Wick  vs  Thanos  with  a  full  gauntlet    but  Thanos  just  snapped  away  Wick  s  dog    Who  wins    ,239
u_J0Ng5cUGg,Ugz7ltym0r2AS778MJ14AaABAg,  why  dont  you  show  emotions    Me  ok    sheds  a  tear    feminists    your  a  grown  man  stop  crying,309
u_J0Ng5cUGg,Ugx-N3N7E1A-mpIOPUh4AaABAg,There  isn  t  a  men  ask  women  questions  because  it  would  be    sexist  ,1970
u_J0Ng5cUGg,UgwdtdoG_ri1eU4FZZV4AaABAg,To  the  people  who  disliked  this  video  here  you  dropped  this  ,26
u_J0Ng5cUGg,Ugy9k6tqz6NmsN0H6e14AaABAg,Them        why  do  men  talk  about  boobs  for  hours      Me  and  the  boys    do  you  remember  dexters  laboratory,191
u_J0Ng5cUGg,Ugw3FEPtuz0iNWP5Rfd4AaABAg,I  feel  bad  for  the  mental  health  of  the  59k  people  that  thumbs  up  this  video  ,78
u_J0Ng5cUGg,Ugw1Ntzf3EsktRbvZ5J4AaABAg,  I'm  probably  funnier  than  you    I  mean    her  life  is  a  joke  ,333
