Video ID,Comment ID,comments,Likes
OPf0YbXqDm0,UgzFWowpNY0kUV5wkIR4AaABAg,I  love  how  Mark  for  99    of  the  song  is  just  chilling  and  RARELY  talks  just  gettin  a  his  hair  done  and  sitting  on  a  nice  car,939
OPf0YbXqDm0,UgzFKQENO11T0sPU8yh4AaABAg,This  masterpiece  still  feels  new  even  after  7  years,282
OPf0YbXqDm0,Ugx7H1hqEsM1GmlDORN4AaABAg,This  song  is  a  pure  masterpiece    and  it'll  stay  a  masterpiece  forever  ,187
OPf0YbXqDm0,Ugw_3WEC8Db9aqihda94AaABAg,It's  crazy  how  many  people  come  back  to  this  everyday  This  song  is  legendary  ,250
OPf0YbXqDm0,UgyTFRUpLawHdjiPGd14AaABAg,It's  awesome  how  old  songs  bring  us  together  again  ,210
OPf0YbXqDm0,UgwHj4xCzIT9KdIk4fl4AaABAg,Me      This  is  pure  talent      Singing  and  dancing      Solid  gold  enter  attainment  ,41
OPf0YbXqDm0,UgxI1xRDNq3Tq9gVcHt4AaABAg,This  song  can't  be  old    It  is  magical    ,29
OPf0YbXqDm0,UgzkH2E8ZHLnVo_vt9F4AaABAg,This  masterpiece  will  be  forever  iconic,61
OPf0YbXqDm0,UgyTKOkSuzi-tqGbMi94AaABAg,I  can't  imagine  how  nostalgic  this  would  be  in  20  years        ,908
OPf0YbXqDm0,UgwwSxPazG3cmor0RR94AaABAg,After  7  years  this  is  still  a  masterpiece    this  song  holds  up  extremely  well  over  time  lol,42
OPf0YbXqDm0,Ugzxs3srMRDi7XYRan54AaABAg,Fun  fact    this  song  never  gets  old  ,4
OPf0YbXqDm0,UgyxgiopcRb641clvyB4AaABAg,I  miss  my  childhood    the  memories  is  coming  back  again  especially  listening  to  my  childhood  songs      The  time  flies  so  fast,9
OPf0YbXqDm0,UggJKCgCDIr9fXgCoAEC,This  has  to  be  the  coolest  song  released  this  year  so  far    Has  a  70s  soulful  feel  to  it    love  it  ,257
OPf0YbXqDm0,Ugx_fwl4zO2Hs8dWs4V4AaABAg,still  and  will  always  be  masterpiece,6
OPf0YbXqDm0,UgzSSq7xIDsfRyfC1Oh4AaABAg,  It's  crazy  how  many  people  come  back  to  this  everyday    This  song  is  legendary      ,2
OPf0YbXqDm0,Ugxytrp2KXunirCM3kZ4AaABAg,That  iconic  look  the  absolute  simple  yet  jazzy  choreography    and  his  entire  persona      What  a  time  to  be  nostalgic,317
OPf0YbXqDm0,UgwYTK38CQrMfJTrLod4AaABAg,This  song  never  gets  old  ,190
OPf0YbXqDm0,UgxqTik8dHesgXr-ZD54AaABAg,This  Song  won't  get  old,91
OPf0YbXqDm0,UgxGfqq5-ADrdxgXHeB4AaABAg,If  this  song  was  released  tomorrow    it'd  still  be  a  SMASH  HIT,2
OPf0YbXqDm0,Ugxu-DOkTylAciHkLKF4AaABAg,Bruno  Mars    I  will  dance  and  sing  in  the  video    Mark  Ronson    What  do  I  do    Bruno  Mars    You  shake  your  head  ,6785
OPf0YbXqDm0,Ugwjb5hymhpLsGTvzOF4AaABAg,I  love  how  Bruno  throws  in  a  little  70s  kind  of  flavor        It's  like  familiar  yet  still  fresh    very  talented  ,303
OPf0YbXqDm0,Ugxm07ZvJEyrcy42Bcl4AaABAg,This  song  is  the  best  and  no  matter  how  much  time  passes  it  will  stay  in  our  hearts,1
OPf0YbXqDm0,UgwrzsKF5-067ucKVP14AaABAg,2021        Music  is  the  only  time  machine  we  have  ,4
OPf0YbXqDm0,UggW2Lyo-pK0SHgCoAEC,In  a  time  where  music  is  dominated  by  people  like  Nicki  Minaj    Justin  Bieber  and  Lil'  Wayne    is  nice  to  see  someone  with  actual  talent  to  create  GOOD  music    Great  for  you  Bruno  Mars,213
OPf0YbXqDm0,UgxgYVIQtElyizZKD-N4AaABAg,time  goes  by  but  this  song  will  always  be  one  of  the  best    '  ,56
OPf0YbXqDm0,Ugy90F5P9fvz0fQYPEZ4AaABAg,I  always  LOVE  listening  to  this  song      makes  me  feel  great          ,4
OPf0YbXqDm0,Ugw1WESs6aRvDYpQ9np4AaABAg,7  years  ago  today    Mark  Ronson  and  Bruno  Mars  released    Uptown  Funk        The  Grammy  winning  song  went  on  to  become  a  massive  hit    topping  the  Hot  100  for  14  weeks  and  ranking  at    1  on  the  decade  end  chart    It  marked  a  moment  in  pop  culture    breaking  numerous  records  at  the  time  ,104
OPf0YbXqDm0,UgwPOOMHRa5-dcuqjtJ4AaABAg,it's  crazy  how  many  people  come  here  every  day    This  song  is  a  legendary    it's  so  addictive  ,2
OPf0YbXqDm0,Ugi2gAP5S7wVAngCoAEC,Bruno  Mars  is  bringing  funk  and  disco  in  a  modern  way    That  needs  an  award          ,131
OPf0YbXqDm0,UgyY_q6GsVVjczMLwsN4AaABAg,I  love  this  song  ,4
OPf0YbXqDm0,Ugyrfl8m356sArWXozt4AaABAg,One  word    Masterpiece  ,77
OPf0YbXqDm0,UgwMFWgcCcQLwLggpvl4AaABAg,Still  to  this  day  a  masterpiece,3
OPf0YbXqDm0,Ugw5ivTlso01ZnYElcV4AaABAg,Bruno  looks  incredible  in  pink  and  purple  and  no  one  can  change  my  mind,3
OPf0YbXqDm0,Ugy-OrrDPYCfwG1I1Tp4AaABAg,This  one  never  gets  old  ,2
OPf0YbXqDm0,UgzK8HlSQ45fviLTfGl4AaABAg,6  years  later  still  sounds  so  fresh      This  song  will  never  go  old  ,11
OPf0YbXqDm0,UgwgqVP4OjFND1Y8rxJ4AaABAg,Love  love  love  this  song  can't  stop  playing  it,73
OPf0YbXqDm0,UgzzvBAD68KowNlDyaF4AaABAg,Don  t  worry    you  re  not  the  only  one  back  for  this  masterpiece,340
OPf0YbXqDm0,UgwHofzAeBBjst_aC7t4AaABAg,I  remember  that  it  sounded  everywhere  and  I  was  very  nostalgic  to  listen  to  it  again    I  know  it  will  never  go  out  of    style  and  it  Will  always  be  in  my  heart,25
OPf0YbXqDm0,UgycdWaaojZdN2OOLVF4AaABAg,It's  crazy  how  many  people  come  back  to  this  everyday    This  song  is  legendary  ,267
OPf0YbXqDm0,UgwCok8q3vYI63_shBV4AaABAg,It's  amazing    this  song  always  gives  me  a  good  mood,1
OPf0YbXqDm0,UgwHHOE9PxHnxjunwiV4AaABAg,This  song  is  truly  masterpiece  and  legendary,5
OPf0YbXqDm0,Ugz_IQkT0DKPSXJvNz54AaABAg,After  6  years  this  is  still  a  masterpiece,379
OPf0YbXqDm0,UgxvEOrjJu9ja20mFhJ4AaABAg,My  mum  used  to  play  this  in  the  car  all  the  time  and  I  love  it      so  nostalgic,64
OPf0YbXqDm0,UgzrgGQNnTvODL1gPAB4AaABAg,This  song  is  legendary  I  came  back  to  this  song  and  i  feel  like  its  still  new    I  know  somebody  think  like  me  too    D,1
OPf0YbXqDm0,UgxqqOptTNYh3bMsU0J4AaABAg,This  song  never  dies  young,2
OPf0YbXqDm0,UgxZyhB3r6xtv6ICmsZ4AaABAg,People  saying  Mark  Ronson  did  nothing    you  need  to  know  he  produced  and  co  wrote  this  song  with  Bruno,446
OPf0YbXqDm0,Ugx90313tI4RQked3fx4AaABAg,This  hits  different  one  of  my  favorites  ,2
OPf0YbXqDm0,UgzD9BPxPzkJ0UYZq3p4AaABAg,Funkiest  beat  from  the  moment  this  song  was  released  till  date    No  cap,4
OPf0YbXqDm0,Ugxrbs2_wX7Z0_JzXCR4AaABAg,This  song  is  legendary    it's  amazing  how  it  infects  joy  ,165
OPf0YbXqDm0,Ugxs0iU3jR0Tgf1cksZ4AaABAg,This  song  is  a  masterpiece,0
OPf0YbXqDm0,UgzU3ZUht73GDIbOCBB4AaABAg,Listening  to  this  masterpiece  everyday  makes  me  happy,49
OPf0YbXqDm0,UgyjliftLfYDMLoQ7554AaABAg,This  song  doesn't  feel  like  almost  7  years  old    It  feels  like  yesterdays,889
OPf0YbXqDm0,UgzRWqlFPn6rvrJDBr54AaABAg,This  song  is  brilliant  ,0
OPf0YbXqDm0,UgyLQkiS8OIWqduxl294AaABAg,This  song  never  gets  old  ,4
OPf0YbXqDm0,UgyhjRBiuGkwnKPkE554AaABAg,Very  good  song    Brun    Fave      Hope  he  makes  it  big  some  day          3,1
OPf0YbXqDm0,UgwAGownn2E7E6L0d3F4AaABAg,Such  a  GREAT  song      ,1
OPf0YbXqDm0,UgjsNFAbTd_cjHgCoAEC,Bruno  Mars  is  the  Prince  of  this  Generation    Never  underestimate  this  man's  talent    ,135
OPf0YbXqDm0,UgzEXopMIhhEok6r9Ut4AaABAg,  Loving  it,1
OPf0YbXqDm0,UgjKGLi4WJ9dh3gCoAEC,I  am  obsessed  with  this  song    It's  one  of  the  best  they've  done  so  far    So  addictive    D  lol,123
OPf0YbXqDm0,Ugx5VKDbRDkPT9zzVXh4AaABAg,Don  t  trust  anyone  who  doesn  t  know  this  song,877
