Video ID,Comment ID,comments,Likes
Jkj36B1YuDU,Ugzw2beVeZqddzqNvL54AaABAg,Have  you  found  your  love  ,36781
Jkj36B1YuDU,Ugz_Wy-18rH_Nu4QHZZ4AaABAg,  It's  17th  November    let's  see  how  many  legends  listening  to  this  masterpiece    ,655
Jkj36B1YuDU,UgzFl7VdxMJsktBLDst4AaABAg,  It's  7th  November    let's  see  how  many  legends  listening  to  this  masterpiece    ,1028
Jkj36B1YuDU,UgwG5dj5E_aot-1jMkB4AaABAg,  It's  16th  October  let's  see  how  many  legends  listening  to  this  masterpiece    ,2355
Jkj36B1YuDU,UgyG7pKSxF44WOrQ7aV4AaABAg,  promise  me  this  is  forever        I  promise      We  all  know  how  it  ended    ,291
Jkj36B1YuDU,Ugyp-4msunfyKEd2v6N4AaABAg,i  dont  care  what  anyone  says  this  song  is  the  best  sad  song  in  history,55932
Jkj36B1YuDU,Ugxyeti72IDJCYGZKON4AaABAg,A  message  for  the  future    Don't  make  this  art  die      Edit    tym  for  like  ily  all  3  ,758
Jkj36B1YuDU,Ugwti8ZqENlVZQhIPXF4AaABAg,Am  i  the  only  one  that  listens  to  this  song  even  though  I  am  not  sad  or  thinking  about  love  or  someone  that  I  love      It  just  feels  good  to  hear  this  masterpiece,59
Jkj36B1YuDU,UgxnJInHl6HRT04g1RV4AaABAg,It's  2021    we're  almost  into  2022    but  you're  still  my  favorite  song,167
Jkj36B1YuDU,UgyZJtqaIOHoGq9gYL14AaABAg,I  sing  this  song  to  myself  as  an  apology    Like    I'm  sorry  I  loved  other  people  so  much  that  I  have  nothing  left  for  you    I'm  sorry  I'm  so  good  at  building  other  people  up    forgiving  them    pursuing  them    and  leaving  no  effort  and  energy  for  you  ,197
Jkj36B1YuDU,Ugxm5eH8LaRwFY-5Bmt4AaABAg,This  song  sounds  like  heaven  but  hurts  like  hell,13928
Jkj36B1YuDU,UgzKUS70g2DoloIyAkx4AaABAg,I  m  so  obsessed  with  this  song,587
Jkj36B1YuDU,UgzUwDngDRP8ya_M6Wh4AaABAg,I  can  t  get  over  him  guys    he  s  like  a  drug  and  I  m  addicted  to  it  ,237
Jkj36B1YuDU,UgxKRXKw3bx6shWfYAh4AaABAg,This  music  hits  the  spot  everyday,17
Jkj36B1YuDU,UgyzSKHYdOpJpnxntbp4AaABAg,Who  Else  Just  randomly  remembered  this  masterpiece,370
Jkj36B1YuDU,Ugwr1NbPlCoZQsm8_-t4AaABAg,Once  a  smart  man  said    when  you're  happy  you  enjoy  the  melody    when  you're  sad  you  understand  the  lyrics  ,8252
Jkj36B1YuDU,UgzIuzZcqXtNpt88tWF4AaABAg,Because  of  my  immense  loneliness  I've  been  incapable  of  crying      and  kept  moving  forward  while  holding  all  my  tears    Thank  you  all  for  making  me  express  what  I  really  felt    and  for  making  me  vent  my  sadness  while  listening  to  this  ,75
Jkj36B1YuDU,Ugzedj-i1v83IQ6yGr94AaABAg,moral  of  the  story    sometimes  it's  just  too  hard  to  move  on  from  another  love,55
Jkj36B1YuDU,Ugz3pth3k0xIEatp8LB4AaABAg,Fell  in  love  with  the  wrong  person  at  the  wrong  time    I  was  just  too  blind  to  see  it  ,65
Jkj36B1YuDU,UgzV5NhEKJ4L8ATjXnR4AaABAg,This  is  not  just  a  song  that  talks  about  my  feelings  towards  someone  who  was  everything  to  me  but  left  me      ,3
Jkj36B1YuDU,Ugy1v_wr5kL89ItWCUR4AaABAg,  Sleep  isn  t  really  sleep  anymore    it  s  just  an  escape  from  reality    ,7825
Jkj36B1YuDU,Ugxe2DIIhRcB3UoMLpp4AaABAg,I  love  how  this  song  gradually  gets  more  painful    This  is  what  I  call  true  art  ,50
Jkj36B1YuDU,Ugxm_5foabdtTLTYFCp4AaABAg,Found  this  master  piece  finally  ,4
Jkj36B1YuDU,Ugw-PibdPCSPJa5n-Zx4AaABAg,Finally  found  this  masterpiece  ,9
