Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Who else just randomly remembered this song 😊,UgwUJGD9twrbc2p5HsF4AaABAg,29,1882,Who else just randomly remembered this song ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,still can't realize its going to be 9th year of this song its amazing,UgwatJec2ipyRetMjPJ4AaABAg,3,115,still can't realize its going to be 9th year of this song its amazing,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"It's October 2021, Let's See how many legends are listening to this masterpiece :)",UgwUv2-t5p8tboW69vB4AaABAg,10,656,"It's October 2021, Let's See how many legends are listening to this masterpiece :)",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Timeless classic <3,UgxAIow1Xkh884IL9V94AaABAg,20,8382,Timeless classic <3,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This song will never be forgotten. Will pass through generations and will be a classic. A masterpiece.,UgydlW8DryB7MgHl_5p4AaABAg,1,183,This song will never be forgotten. Will pass through generations and will be a classic. A masterpiece.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Honestly, I think the saddest sound ever is the crack in someone's voice when they're on the verge of tears",UgwPQlfEg-OLo5pHVVF4AaABAg,9,2765,"Honestly, I think the saddest sound ever is the crack in someone's voice when they're on the verge of tears",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,when you start shedding tears on this music for no reason you know you’re broken :/,Ugx8TRo1AcSMr_Zb48p4AaABAg,3,38,when you start shedding tears on this music for no reason you know you’re broken :/,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I'm 22 and I never heard this song until now. But I can definitively say that this song is merely perfect! :'),UgwkF8cGlxdkRbjaj-x4AaABAg,4,191,I'm 22 and I never heard this song until now. But I can definitively say that this song is merely perfect! :'),en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Lyrics:
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Oh oh 
Oh oh oh oh oh oh
Oh oh oh oh oh oh
And if somebody hurts you, I wanna fight
But my hand's been broken, one too many times
So I'll use my voice, I'll be so fucking rude
Words they always win, but I know I'll lose
And I'd sing a song, that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Oh oh
I wanna sing a song, that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up oh oh, oh",UgxC6XdWVf0Qii7HNHx4AaABAg,7,197,"Lyrics:
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Oh oh 
Oh oh oh oh oh oh
Oh oh oh oh oh oh
And if somebody hurts you, I wanna fight
But my hand's been broken, one too many times
So I'll use my voice, I'll be so fucking rude
Words they always win, but I know I'll lose
And I'd sing a song, that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Oh oh
I wanna sing a song, that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up oh oh, oh",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Unpopular opinion: this song is the masterpiece of our generation,Ugxs-4VjoONE34lpIiN4AaABAg,51,9646,Unpopular opinion: this song is the masterpiece of our generation,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I learnt to love this song after over 4 years. I never paid attention to the beauty of it. ❤️,Ugybk3mtUbcHtlMd_Mx4AaABAg,0,18,I learnt to love this song after over 4 years. I never paid attention to the beauty of it. ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"“- Promise me this is forever.
- I promise.”",Ugx2emwkJrzvr_47wJ14AaABAg,1,64,"“- Promise me this is forever.
- I promise.”",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This song is literally one of the saddest songs in this world.,Ugxx6ZHwUCl1UkXVCwd4AaABAg,212,26171,This song is literally one of the saddest songs in this world.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"*Another Love by Tom Odell*


I wanna take you somewhere so you know I care but it's so cold and I don't know where I brought you daffodils on a pretty string but they won't flowers like they did Last spring and I wanna Kiss you make you feel alright I'm Just so tired to share my  nights I wanna cry and I wanna Love but all my tears have been used up  on another Love, another Love all my tears have Been Used Up on another Love, another Love  all my tears have been used up on another Love, another Love all my tears have been used up and If somebody hurts you, i wanna fight but My hand's Been Broken, one too many Times so use my voice i'll be so f***ing rude words: they always win, but i know i'll lose and i'd sing a Song, that'd be just ours but i sing 'em all to another Heart and  I wanna cry i wanna learn to Love but all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up i wanna sing a Song that'll be just ours but i sang 'em all to another Heart and I wanna cry, i wanna Fall in Love but all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up 

Thank you for reading this :)",UgxsXTcu-1M5tn4wtn54AaABAg,2,95,"*Another Love by Tom Odell*


I wanna take you somewhere so you know I care but it's so cold and I don't know where I brought you daffodils on a pretty string but they won't flowers like they did Last spring and I wanna Kiss you make you feel alright I'm Just so tired to share my  nights I wanna cry and I wanna Love but all my tears have been used up  on another Love, another Love all my tears have Been Used Up on another Love, another Love  all my tears have been used up on another Love, another Love all my tears have been used up and If somebody hurts you, i wanna fight but My hand's Been Broken, one too many Times so use my voice i'll be so f***ing rude words: they always win, but i know i'll lose and i'd sing a Song, that'd be just ours but i sing 'em all to another Heart and  I wanna cry i wanna learn to Love but all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up i wanna sing a Song that'll be just ours but i sang 'em all to another Heart and I wanna cry, i wanna Fall in Love but all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up on another Love, another Love all my tears have been used up 

Thank you for reading this :)",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,i remember when this song came out😪and now it is 8 years ago💔,UgwQYm3wfKvgng7QmGl4AaABAg,153,21621,i remember when this song came outand now it is 8 years ago,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This song will forever be the most powerful song ever created I connect with this song and the lyrics on another level,UgxYNCwNkZyoh5RxVbF4AaABAg,1,44,This song will forever be the most powerful song ever created I connect with this song and the lyrics on another level,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,this is the simplest and yet best music video ever.,UggjR394cHAOHngCoAEC,125,26671,this is the simplest and yet best music video ever.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"ITS NOVEMBER 2021, LET'S SEE HOW MANY LEGENDS ARE STILL LISTENING TO THIS MASTERPIERCE🤩",Ugx4-J8KUhHXhYtmy0d4AaABAg,0,27,"ITS NOVEMBER 2021, LET'S SEE HOW MANY LEGENDS ARE STILL LISTENING TO THIS MASTERPIERCE",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"If you're here, your music taste is gold",UgzWyehPRoa3-Vq0IZp4AaABAg,72,9723,"If you're here, your music taste is gold",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,my heart aches when i listen to this but it's so addictive,Ugy8q8dnwzYF5-JtdHx4AaABAg,0,51,my heart aches when i listen to this but it's so addictive,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,There's just something about this song.. It's just makes me wanna cry so hard,Ugy5nYHVwu4XCmlHXFV4AaABAg,0,47,There's just something about this song.. It's just makes me wanna cry so hard,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This song explained everything I wanna say.,UgxItwR0MIiOYHXg1Dd4AaABAg,0,74,This song explained everything I wanna say.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Come back to this song in ten years and see the memories that flood your head.,Ugyjf4pXq-8IO74y5qV4AaABAg,0,3,Come back to this song in ten years and see the memories that flood your head.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"This song never gets old. No matter how much I listen, I never get bored.",UgwfrS_JsgGk8Q3efu54AaABAg,82,11223,"This song never gets old. No matter how much I listen, I never get bored.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This is a great song it has kept me from emotional dying since my grandma passed I needed to listen to this for more comfort thanks.,UgyFCF2i-9bwb1DS2FB4AaABAg,0,0,This is a great song it has kept me from emotional dying since my grandma passed I needed to listen to this for more comfort thanks.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"""if love is a word, then why does it hurt so much if it isn't there?""",UgyAPBv0KYbvGVDwhFJ4AaABAg,0,70,"""if love is a word, then why does it hurt so much if it isn't there?""",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Some songs just happen to be right for my soul. Could be the chords or the lyrics, or like in this case, both. It's just amazing how you can literally feel something moving inside of you listening to it, goosebumps on my arms, it's simply the definition of magic to me.",UgwENOLbCHShrgOn0V54AaABAg,0,0,"Some songs just happen to be right for my soul. Could be the chords or the lyrics, or like in this case, both. It's just amazing how you can literally feel something moving inside of you listening to it, goosebumps on my arms, it's simply the definition of magic to me.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I just realized this song is 8 years old and still a masterpiece to this day . Wow 🤍,UgyuW0uxL9LhWzjsvFp4AaABAg,9,2900,I just realized this song is 8 years old and still a masterpiece to this day . Wow ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"this song will always have that Something....the way it escalates, god.",UgzpfJs07zoH2alqR-l4AaABAg,0,1,"this song will always have that Something....the way it escalates, god.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Gives me chills. every time .after all this time ,will still give me chills even after another 10 years !",UgzKNF5AhjY_2P-UX-l4AaABAg,0,1,"Gives me chills. every time .after all this time ,will still give me chills even after another 10 years !",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"It’s been 9 years and still my favorite, I’m still searching for love and trust that I never found,I’m still fighting with my self...",UgxRReckwsN2JghqYtF4AaABAg,0,1,"It’s been 9 years and still my favorite, I’m still searching for love and trust that I never found,I’m still fighting with my self...",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Don't worry you're not the only one who listening to this masterpiece in 2021.,UgxuPEkwnZ-KCYWu--p4AaABAg,65,6142,Don't worry you're not the only one who listening to this masterpiece in 2021.,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,That the first time I heard this music i think it gonna be an new addiction,Ugw4b0L4ZO6JfVr46HJ4AaABAg,0,5,That the first time I heard this music i think it gonna be an new addiction,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I love how they kept the video simple because it’s just such an intense song!!,Ugw-ikDcyjC1fgWf6DF4AaABAg,0,0,I love how they kept the video simple because it’s just such an intense song!!,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Sometimes this song makes me cry of it🥲*,UgxvchFMRXWlTjb6Pl94AaABAg,1,5,Sometimes this song makes me cry of it*,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I could just imagine how much he was hurting when he wrote this song :/,UgwjP5PRzAaj2DCFg6F4AaABAg,19,6971,I could just imagine how much he was hurting when he wrote this song :/,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,It's been 9 years and still a masterpiece to this day ❤,Ugxc4GLLn_DTUNR2k9Z4AaABAg,0,0,It's been 9 years and still a masterpiece to this day ,en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"If you survived a worldwide pandemic and have played this video, you deserve to win in life.",Ugycyo8XuAkc0lWq7ld4AaABAg,13,1817,"If you survived a worldwide pandemic and have played this video, you deserve to win in life.",en
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"I finally understand this song after 5 years, and it hurts a lot...",UgyjzDCPGF0cxRrvfJp4AaABAg,0,25,"I finally understand this song after 5 years, and it hurts a lot...",en
