Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,masterpiece.,UgzYGqbhj1u4VaEXbKd4AaABAg,53,17847
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Who else just randomly remembered this song 😊,UgwUJGD9twrbc2p5HsF4AaABAg,29,1882
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Que músicaaaaaaaaa 🛐🥺❤️,UgxGrwNPM3bGAIK0YUR4AaABAg,1,41
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,still can't realize its going to be 9th year of this song its amazing,UgwatJec2ipyRetMjPJ4AaABAg,3,115
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"It's October 2021, Let's See how many legends are listening to this masterpiece :)",UgwUv2-t5p8tboW69vB4AaABAg,10,656
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Timeless classic <3,UgxAIow1Xkh884IL9V94AaABAg,20,8382
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,This song will never be forgotten. Will pass through generations and will be a classic. A masterpiece.,UgydlW8DryB7MgHl_5p4AaABAg,1,183
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,her dinlediğimde beni ağlatan ama asla dinlemekten vazgeçemediğim nadir şarkılardan biri<3,UgybJUbiWtuBTy--FvZ4AaABAg,6,182
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Bana göre bazı şarkılar insanı kasvetli yalnız bir kumsalda yürür gibi hissettiriyor bu da onlardan biri dinlediğinde ruhun seni öyle hafif yağmurlu bir sahile bırakıyor,Ugw4Ttm014cpU_013GN4AaABAg,5,210
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,cada vez que escucho esta cancion me recuerdo de mi lesion :(  y porque ya no volvere a ser el mismo en las canchas,UgyTRrSK0E8x7m-3jMZ4AaABAg,0,7
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,"Honestly, I think the saddest sound ever is the crack in someone's voice when they're on the verge of tears",UgwPQlfEg-OLo5pHVVF4AaABAg,9,2765
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,Bu şarkıyı her dinlediğimde çık garip hissediyorum tüm düşüncelerden arınıyorum rahatlıyorum ama garip hissediyorum,UgxNvIuRcA_l6epb50V4AaABAg,3,135
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,when you start shedding tears on this music for no reason you know you’re broken :/,Ugx8TRo1AcSMr_Zb48p4AaABAg,3,38
TomOdellVEVO,Tom Odell - Another Love (Official Video),Tom Odell - Another Love (Official Video) Stream Tom Odell here: https://tomodell.lnk.to/Playlists Subscribe to Tom Odell's YouTube channel: ...,MwpMEbgC7DA,I'm 22 and I never heard this song until now. But I can definitively say that this song is merely perfect! :'),UgwkF8cGlxdkRbjaj-x4AaABAg,4,191
